model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.1114459668952,0,6
model1,0,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.1266252684777,0,6
model1,0,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.160799529797,0,6
model1,0,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1652.6602851558105,0,6
model1,0,smc,4,000000 1 10 100 1000 10000 100000,7,-1654.4355369618613,0,6
model1,0,smc,5,000 1 10 100,4,-1656.2375004179971,0,6
model1,0,smc,6,00 1 10,3,-1657.1731616573613,1,6
model1,0,smc,7,0 1,2,-1673.8054120192533,0,6
model1,0,smc,8,,1,-3401.667062074236,0,6
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0,5
model1,1,smc,1,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1655.1541962153858,0,5
model1,1,smc,2,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.3028227812529,0,5
model1,1,smc,3,000 000100 1 10 100100 10100,6,-1655.9771563659506,0,5
model1,1,smc,4,000 00100 1 10 10100,5,-1656.6882243802497,0,5
model1,1,smc,5,00 1 10,3,-1658.2428456318405,1,5
model1,1,smc,6,0 1,2,-1682.0702643406835,0,5
model1,1,smc,7,,1,-3400.72836009024,0,5
